,gas_status,fructose_status,diff,abs_diff
LAbrini_16600,186.79585713325008,44.59584262304931,142.2000145102008,142.2000145102008
LAbrini_02085,175.89826791122383,33.92808677517116,141.97018113605267,141.97018113605267
LAbrini_14460,183.5622159506751,41.77817994210196,141.78403600857314,141.78403600857314
LAbrini_16320,212.62839793057316,71.29778658663649,141.33061134393665,141.33061134393665
LAbrini_18340,192.37968153112462,51.52990428168939,140.84977724943522,140.84977724943522
LAbrini_04275,158.84795016823279,18.286400260816933,140.56154990741584,140.56154990741584
LAbrini_15595,202.23432802175,66.47532197047563,135.75900605127435,135.75900605127435
LAbrini_04375,191.51315930438918,55.79847152018995,135.7146877841992,135.7146877841992
LAbrini_00055,158.58466886683922,23.313876332102275,135.27079253473696,135.27079253473696
LAbrini_11770,176.09387735816878,41.736058907828046,134.35781845034074,134.35781845034074
LAbrini_05845,161.02511711742542,28.22409607321052,132.8010210442149,132.8010210442149
LAbrini_20030,146.87369239914875,14.292133230735152,132.5815591684136,132.5815591684136
LAbrini_02850,159.53109861415754,28.31480890983514,131.2162897043224,131.2162897043224
LAbrini_16935,169.6112674308414,38.69030118790571,130.9209662429357,130.9209662429357
LAbrini_01050,167.1416302854418,37.15205544809139,129.9895748373504,129.9895748373504
LAbrini_18305,146.97902231621325,18.10576038943164,128.8732619267816,128.8732619267816
LAbrini_10165,143.0183920415667,14.93909896617793,128.07929307538876,128.07929307538876
LAbrini_11740,197.5539278920834,69.57731275625432,127.97661513582909,127.97661513582909
LAbrini_01630,149.35238993242803,23.368980436292528,125.9834094961355,125.9834094961355
LAbrini_09545,145.16266164896098,19.805692722979696,125.35696892598128,125.35696892598128
LAbrini_03050,145.39460967141935,20.59372270998819,124.80088696143116,124.80088696143116
LAbrini_17080,182.28562990624704,57.91765695955454,124.3679729466925,124.3679729466925
LAbrini_02785,166.02733175123933,42.30038740077196,123.72694435046736,123.72694435046736
LAbrini_18380,156.13181401325403,32.95661942376153,123.17519458949249,123.17519458949249
LAbrini_18350,146.76881779744193,23.675291622034514,123.09352617540742,123.09352617540742
LAbrini_18345,157.1938788270639,34.152720876312614,123.0411579507513,123.0411579507513
LAbrini_10625,178.13445145833447,56.07796895650274,122.05648250183174,122.05648250183174
LAbrini_09660,159.557388557197,37.68206624481011,121.87532231238688,121.87532231238688
LAbrini_09435,170.25982384454292,48.6474051019143,121.61241874262862,121.61241874262862
LAbrini_10775,173.09873560619118,52.16807957470811,120.93065603148307,120.93065603148307
LAbrini_07960,164.9788476556675,44.96380855676601,120.01503909890148,120.01503909890148
LAbrini_02255,154.58052736073378,34.75320165541185,119.82732570532193,119.82732570532193
LAbrini_09735,143.0782244191526,24.1570820301577,118.92114238899491,118.92114238899491
LAbrini_19280,143.8770160886361,25.733154090921367,118.14386199771474,118.14386199771474
LAbrini_10020,140.81113173706754,23.178440985536852,117.63269075153069,117.63269075153069
LAbrini_00920,167.32044034108387,50.17435134756984,117.14608899351403,117.14608899351403
LAbrini_08540,186.84857897997696,70.12777158164002,116.72080739833694,116.72080739833694
LAbrini_07250,132.07427138576068,15.746282093858186,116.3279892919025,116.3279892919025
LAbrini_01815,149.77674299196485,33.56559078880375,116.2111522031611,116.2111522031611
LAbrini_00170,153.81884261737295,37.810188901763865,116.00865371560909,116.00865371560909
LAbrini_18485,133.84289772209354,18.95731803429813,114.88557968779541,114.88557968779541
LAbrini_07030,154.31062312547846,39.44447166357386,114.8661514619046,114.8661514619046
LAbrini_07700,145.9139383879084,31.20703858032198,114.70689980758641,114.70689980758641
LAbrini_01470,162.7000105144517,48.37788775034397,114.32212276410772,114.32212276410772
LAbrini_19550,175.08175528717604,61.724476827056755,113.35727846011929,113.35727846011929
LAbrini_07670,143.3265813509909,30.316358764540333,113.01022258645057,113.01022258645057
LAbrini_09690,128.66381965546873,15.698267694658336,112.96555196081039,112.96555196081039
LAbrini_06530,139.60856880429327,27.55341902123014,112.05514978306313,112.05514978306313
LAbrini_12965,160.60939419894353,49.318875499332435,111.2905186996111,111.2905186996111
LAbrini_01215,128.08673094772792,17.156644293432244,110.93008665429568,110.93008665429568
LAbrini_01965,158.05811891410832,48.39121719745283,109.66690171665549,109.66690171665549
LAbrini_08845,136.378326434148,27.043739871530107,109.33458656261789,109.33458656261789
LAbrini_09680,148.60429448701743,39.69333452255534,108.91095996446208,108.91095996446208
LAbrini_06110,129.18107498871234,20.344682741557836,108.8363922471545,108.8363922471545
