,gene,num_sig_phases,max_diff
1759,LAbrini_12820,3,0.068446236
1836,LAbrini_08945,3,0.06844221
895,LAbrini_04525,3,0.06822006250000001
1464,LAbrini_12025,3,0.06821167900000003
610,LAbrini_19040,3,0.06802291999999999
1160,LAbrini_00570,3,0.06801471600000003
2443,LAbrini_15175,3,0.06800995449999994
2319,LAbrini_17285,3,0.06788705250000002
855,LAbrini_13910,3,0.06788459750000003
1531,LAbrini_12355,3,0.06778179699999998
1079,LAbrini_09805,3,0.06761120399999998
3829,LAbrini_02110,3,0.06746883050000002
3287,LAbrini_14975,3,0.06679792700000003
2998,LAbrini_07655,3,0.06655319350000005
649,LAbrini_14180,3,0.06644440350000003
3628,LAbrini_14695,3,0.06616095100000002
2244,LAbrini_02830,3,0.06606012649999998
3581,LAbrini_04130,3,0.06601624299999997
1078,LAbrini_20040,3,0.06574375649999997
1282,LAbrini_14935,3,0.06546255499999998
265,LAbrini_00185,3,0.06529692400000003
2754,LAbrini_08960,3,0.06528734650000007
2289,LAbrini_04360,3,0.06520247899999998
2657,LAbrini_11240,3,0.06514724100000002
459,LAbrini_10115,3,0.06497212349999999
3677,LAbrini_02215,3,0.06494587300000004
1594,LAbrini_10695,3,0.06487599700000002
1004,LAbrini_02775,3,0.06479597100000001
2727,LAbrini_01775,3,0.064661581
599,LAbrini_11925,3,0.064545213
2574,LAbrini_16650,3,0.06390697249999999
1376,LAbrini_11150,3,0.0639000925
423,LAbrini_03765,3,0.06333286299999996
2218,LAbrini_16385,3,0.06329843750000003
1816,LAbrini_16220,3,0.06291661050000003
880,ERCC-00042,3,0.06265083500000002
447,LAbrini_10325,3,0.06264183350000002
3314,LAbrini_19650,3,0.06231781550000004
2531,LAbrini_08515,3,0.06208372499999998
3462,LAbrini_15010,3,0.062029573000000005
2858,LAbrini_10030,3,0.06177800099999997
1333,LAbrini_13925,3,0.06149342699999999
3675,LAbrini_15100,3,0.06062651250000001
1462,LAbrini_00595,3,0.06040736899999996
3775,LAbrini_07900,3,0.060372381500000016
1390,LAbrini_12595,3,0.0599275185
1577,LAbrini_01150,3,0.05938400250000009
810,LAbrini_17175,3,0.059357414
99,LAbrini_01925,3,0.05920084749999999
3653,LAbrini_16985,3,0.059188836500000064
3,LAbrini_12035,3,0.05887768700000001
2491,LAbrini_18995,3,0.05878026450000001
1942,LAbrini_13285,3,0.05863637500000002
2396,LAbrini_19925,3,0.05789032949999995
3136,LAbrini_13320,3,0.057783814499999975
64,LAbrini_02190,3,0.057473616000000005
2062,LAbrini_11530,3,0.057457229499999984
3589,LAbrini_00985,3,0.05724323449999999
113,LAbrini_11235,3,0.05721261249999998
1172,LAbrini_04380,3,0.05689144900000004
3748,LAbrini_02825,3,0.0566452685
1258,LAbrini_00445,3,0.05532595699999998
1580,LAbrini_06845,3,0.05513702599999998
2275,LAbrini_07990,3,0.055104076500000015
969,LAbrini_13330,3,0.054611520499999955
2150,LAbrini_00575,3,0.05459913050000004
1937,LAbrini_10200,3,0.05426437650000002
2854,LAbrini_00730,3,0.053051210000000015
485,LAbrini_15740,3,0.052978250500000046
172,LAbrini_12490,3,0.052942422499999975
3626,LAbrini_11095,3,0.05236068650000003
1675,LAbrini_05405,3,0.05208035799999999
2368,LAbrini_04385,3,0.05184899000000004
2994,LAbrini_17000,3,0.05120475499999996
396,LAbrini_02315,3,0.0508944925
915,LAbrini_15200,3,0.05036731549999998
2696,LAbrini_05145,3,0.0500211645
967,LAbrini_19410,3,0.04998005
1192,LAbrini_10290,3,0.04980079650000002
3476,LAbrini_14375,3,0.04947972550000001
1409,LAbrini_17190,3,0.04805950250000002
562,LAbrini_08020,3,0.04760264850000007
229,LAbrini_13375,3,0.04618311699999994
949,LAbrini_07975,3,0.0455513025
3542,LAbrini_11220,3,0.0454930335
1718,LAbrini_04085,3,0.045082705500000014
53,LAbrini_15295,3,0.04232944550000001
3474,LAbrini_01400,3,0.04175711000000004
43,LAbrini_06550,3,0.041080798500000015
2453,LAbrini_15000,3,0.040894103000000015
3549,LAbrini_13875,3,0.039593606
330,LAbrini_08720,3,0.038055889499999995
1173,LAbrini_14345,3,0.03354180300000004
2475,LAbrini_13740,2,0.5112840415
1790,LAbrini_11180,2,0.5102779584999999
1224,LAbrini_03960,2,0.48673493999999995
3452,LAbrini_09860,2,0.42059524049999997
1185,LAbrini_20025,2,0.38691694100000007
2172,LAbrini_11860,2,0.37741977950000005
1698,LAbrini_02600,2,0.362972897
3595,LAbrini_05910,2,0.3219660135
3153,LAbrini_02010,2,0.307537514
1840,LAbrini_07650,2,0.30560556950000006
780,LAbrini_16420,2,0.30530410799999996
3143,LAbrini_16105,2,0.2968000239999999
2865,LAbrini_02045,2,0.2965988035
11,LAbrini_09010,2,0.2879213504999999
3610,LAbrini_05700,2,0.28317333899999997
24,LAbrini_08645,2,0.275524326
1667,LAbrini_00235,2,0.26754501899999994
2049,LAbrini_17250,2,0.2600534065
3090,LAbrini_16430,2,0.2582254565
1494,LAbrini_10265,2,0.25798781849999997
1352,LAbrini_01650,2,0.25084910650000003
264,LAbrini_04745,2,0.25072703649999994
1849,LAbrini_06605,2,0.24861668950000002
1085,LAbrini_00930,2,0.247547107
1867,LAbrini_04605,2,0.245870309
292,LAbrini_04225,2,0.24533371199999998
560,LAbrini_12670,2,0.24322779849999998
1809,LAbrini_19950,2,0.23016630500000002
975,LAbrini_07740,2,0.22937906499999994
2027,LAbrini_16850,2,0.22675170449999998
575,LAbrini_02935,2,0.222927356
2846,LAbrini_13685,2,0.22269744549999992
444,LAbrini_19240,2,0.22217107000000003
892,LAbrini_17300,2,0.22056112699999997
1681,LAbrini_19940,2,0.2205229655
1765,LAbrini_01840,2,0.22032088000000005
1586,LAbrini_09935,2,0.2191246870000001
2838,LAbrini_12430,2,0.21872713499999996
260,LAbrini_05115,2,0.21849669249999998
1145,LAbrini_01320,2,0.2174008
2516,LAbrini_11020,2,0.2153485625
1446,LAbrini_19845,2,0.214993291
2324,LAbrini_13765,2,0.21407798600000005
2810,LAbrini_11130,2,0.21368486200000003
1802,LAbrini_13610,2,0.21355660250000003
2114,LAbrini_17750,2,0.21343449849999996
1677,LAbrini_05175,2,0.2122078665
3423,ERCC-00157,2,0.20786788949999996
3499,LAbrini_10980,2,0.20718456900000004
1359,LAbrini_09840,2,0.20435442350000002
3538,LAbrini_20030,2,0.20340825450000002
3594,LAbrini_06110,2,0.20301775500000002
3504,LAbrini_16210,2,0.20162660300000002
3347,LAbrini_13890,2,0.201013462
2001,LAbrini_07615,2,0.196696808
2679,LAbrini_08325,2,0.195802082
1071,LAbrini_03395,2,0.19343746750000002
574,LAbrini_15925,2,0.19161724249999998
1843,LAbrini_11835,2,0.19156526350000003
1202,LAbrini_11400,2,0.190088488
1898,LAbrini_04050,2,0.1897347895
262,LAbrini_18455,2,0.18923074150000002
2412,LAbrini_04950,2,0.18844997149999998
861,LAbrini_06155,2,0.18781354849999998
1328,LAbrini_12455,2,0.18735055450000002
784,LAbrini_00250,2,0.18560529150000002
1268,LAbrini_10700,2,0.1846873
841,LAbrini_20080,2,0.1844787485
314,LAbrini_15320,2,0.1841139355
2463,LAbrini_12800,2,0.1836531175
1287,LAbrini_18325,2,0.18286850600000004
2588,LAbrini_16855,2,0.17913717149999997
2374,LAbrini_00735,2,0.17906866900000007
2871,LAbrini_05960,2,0.17871388049999992
2830,LAbrini_04590,2,0.17808967800000003
1756,LAbrini_07110,2,0.17785511599999998
2394,LAbrini_08650,2,0.17675090849999997
3694,LAbrini_08315,2,0.176256696
1463,LAbrini_05255,2,0.176168011
515,LAbrini_17815,2,0.17616113650000004
3814,LAbrini_00345,2,0.175497136
542,LAbrini_09205,2,0.174974531
2087,LAbrini_05030,2,0.174860568
144,LAbrini_06480,2,0.174741444
2813,LAbrini_05195,2,0.17473943050000001
307,LAbrini_06805,2,0.17274349900000002
461,LAbrini_08540,2,0.172083231
3409,LAbrini_15455,2,0.1718607205
482,LAbrini_19565,2,0.1711065395
3072,LAbrini_14720,2,0.1704925215
1891,LAbrini_00175,2,0.1700968665
589,LAbrini_12735,2,0.16995743149999998
551,LAbrini_00150,2,0.16980051549999997
1116,LAbrini_11030,2,0.16938053000000003
3749,LAbrini_13125,2,0.1690364035
1757,LAbrini_14915,2,0.168600941
3033,LAbrini_14310,2,0.16859678299999997
2512,LAbrini_04610,2,0.16796909999999998
1581,LAbrini_15285,2,0.16773453449999998
1538,LAbrini_04625,2,0.16772498350000004
476,LAbrini_06330,2,0.16734751199999998
1602,LAbrini_12920,2,0.16659988650000002
660,LAbrini_02090,2,0.165919286
2364,LAbrini_13205,2,0.16578933150000003
652,LAbrini_07105,2,0.16567590050000003
3199,LAbrini_05585,2,0.1653277245
1448,LAbrini_13015,2,0.1648936635
1811,LAbrini_19365,2,0.1643285875
3443,LAbrini_14555,2,0.16424596
1189,LAbrini_14660,2,0.16386824299999997
3485,LAbrini_14875,2,0.163775428
2367,LAbrini_15325,2,0.16350118899999988
3145,LAbrini_16800,2,0.16327967000000004
1467,LAbrini_11995,2,0.16320409349999992
190,LAbrini_15965,2,0.16295844999999998
3668,LAbrini_11580,2,0.162071103
3811,LAbrini_08615,2,0.16109908500000003
3176,LAbrini_12795,2,0.16090248599999998
1709,LAbrini_06595,2,0.16087285199999998
3725,LAbrini_17805,2,0.160869366
1301,LAbrini_02680,2,0.16070096549999996
2927,LAbrini_00660,2,0.16000284000000006
2247,LAbrini_18360,2,0.15878799450000003
377,LAbrini_18160,2,0.15871778
3630,LAbrini_09745,2,0.15853759699999997
1105,LAbrini_17960,2,0.15846352749999998
2000,LAbrini_00215,2,0.157955751
2611,LAbrini_13215,2,0.15795412999999997
21,LAbrini_19970,2,0.1577405395
2985,LAbrini_08555,2,0.1572533265
647,LAbrini_03815,2,0.15722067599999995
1692,LAbrini_00495,2,0.1572110645
1582,LAbrini_18765,2,0.155735285
382,LAbrini_18645,2,0.15531408600000002
187,LAbrini_10805,2,0.15524916449999998
1181,LAbrini_03860,2,0.155223742
430,LAbrini_18710,2,0.1548801155
1923,LAbrini_18915,2,0.15437025749999997
1190,LAbrini_17270,2,0.1542490245
1508,LAbrini_06130,2,0.15358295200000002
931,LAbrini_18745,2,0.153389812
2847,LAbrini_07055,2,0.15283616049999998
1308,LAbrini_10710,2,0.15221559999999998
2564,LAbrini_06490,2,0.15216590250000006
3466,LAbrini_07300,2,0.152135361
2259,LAbrini_18075,2,0.15183316400000005
1872,LAbrini_12945,2,0.15181248
3363,LAbrini_02485,2,0.15098311400000003
395,LAbrini_13940,2,0.15089288
445,LAbrini_05975,2,0.149968565
811,ERCC-00144,2,0.14893326750000002
2843,LAbrini_08805,2,0.14862619750000003
1353,LAbrini_00980,2,0.14828706649999995
988,LAbrini_03340,2,0.148025466
1845,LAbrini_12765,2,0.14783956699999995
2619,LAbrini_12275,2,0.14782485
1592,LAbrini_12390,2,0.146706397
870,LAbrini_19695,2,0.14663799050000004
782,LAbrini_00220,2,0.146302033
138,LAbrini_17675,2,0.1462899955
873,LAbrini_14650,2,0.14621728899999997
713,LAbrini_14235,2,0.146015475
3122,LAbrini_19625,2,0.1453523365
3342,LAbrini_18630,2,0.14521057300000004
3548,LAbrini_09850,2,0.14518752549999997
991,LAbrini_11960,2,0.14506972549999997
289,LAbrini_15280,2,0.14497281899999998
3093,LAbrini_04905,2,0.14464128549999994
2950,LAbrini_09905,2,0.14459756199999996
479,LAbrini_06035,2,0.143972261
2108,LAbrini_05765,2,0.143913966
2466,LAbrini_04190,2,0.14385704299999996
379,LAbrini_16470,2,0.14350264150000003
2055,LAbrini_01655,2,0.1434332015
1019,LAbrini_18620,2,0.14282078449999996
255,LAbrini_19800,2,0.14261707799999998
2155,LAbrini_05380,2,0.14248968100000003
2366,LAbrini_04955,2,0.14215054549999995
3234,LAbrini_11560,2,0.1421404435
2929,LAbrini_03460,2,0.141166639
3785,LAbrini_18755,2,0.14036775599999998
655,LAbrini_17150,2,0.14034858600000003
2583,LAbrini_14500,2,0.139911732
3324,LAbrini_18615,2,0.139666324
1096,LAbrini_04570,2,0.1396273655
1785,LAbrini_05610,2,0.13957016499999997
1370,LAbrini_18890,2,0.13951966
582,LAbrini_10770,2,0.1392033165
3558,LAbrini_05120,2,0.13916372749999995
3326,LAbrini_09140,2,0.13901514300000006
1660,LAbrini_01095,2,0.1389361215
785,LAbrini_09625,2,0.1388461085
609,LAbrini_08525,2,0.13882094849999999
2420,LAbrini_04850,2,0.13874156750000005
1799,LAbrini_15545,2,0.1387058415
3836,LAbrini_19835,2,0.138368111
2046,LAbrini_12770,2,0.13829338649999995
680,LAbrini_09020,2,0.13820080300000004
2434,LAbrini_13710,2,0.1378461865
3299,LAbrini_05070,2,0.1377013955
365,LAbrini_15890,2,0.13765885249999998
3276,LAbrini_18860,2,0.137632888
2388,LAbrini_10080,2,0.137626967
1625,LAbrini_08655,2,0.13751528599999996
3111,LAbrini_17740,2,0.13748133699999998
2225,LAbrini_05560,2,0.137253988
2526,LAbrini_12130,2,0.13616186950000003
536,LAbrini_04960,2,0.13607854749999998
281,LAbrini_10020,2,0.13590920099999998
319,LAbrini_09950,2,0.135615865
3577,LAbrini_08610,2,0.1356060005
3084,LAbrini_06800,2,0.13527912949999998
1000,LAbrini_11245,2,0.13483695750000008
3823,LAbrini_08575,2,0.134678213
18,LAbrini_02530,2,0.13440216750000006
1354,LAbrini_07545,2,0.134382159
2212,LAbrini_03365,2,0.13433631000000001
3455,LAbrini_14630,2,0.13426006000000001
1089,LAbrini_08405,2,0.13401263199999996
1558,LAbrini_08495,2,0.133867088
2884,LAbrini_15150,2,0.1337620215
315,LAbrini_10985,2,0.13339983500000002
1138,LAbrini_13515,2,0.13300419150000004
3048,LAbrini_13270,2,0.132978734
928,LAbrini_20215,2,0.1327425665
531,LAbrini_08745,2,0.13244980299999998
1847,LAbrini_11670,2,0.13243805349999999
293,LAbrini_18730,2,0.13238925650000002
1540,LAbrini_12105,2,0.13215441500000003
119,LAbrini_11435,2,0.1321358755000001
3144,LAbrini_01615,2,0.1315380565
2815,LAbrini_17595,2,0.13132652250000001
1046,LAbrini_18460,2,0.131266549
3834,LAbrini_07680,2,0.13088438800000002
3260,LAbrini_09990,2,0.13040748349999998
1522,LAbrini_18245,2,0.13014340900000004
1026,LAbrini_05640,2,0.13004816549999998
