,gene,weighted_distance
2242,LAbrini_10635,69.04715877909182
2431,LAbrini_07645,69.0385202635282
585,LAbrini_00020,69.03744501975339
1445,LAbrini_04940,68.91923594669386
325,LAbrini_12460,68.84343852923345
1796,LAbrini_09655,68.74002933576894
1369,LAbrini_17905,68.54985507157517
1878,LAbrini_13850,68.52125477046157
244,LAbrini_19920,68.51513782243214
1080,LAbrini_08520,68.51000579362432
1348,LAbrini_01630,68.50288069903982
3021,LAbrini_00035,68.40208637369865
2211,LAbrini_15605,68.38746493542624
1400,LAbrini_07910,68.23224290507997
3223,ERCC-00096,68.1847680711047
3559,LAbrini_03515,68.07295319051946
1702,LAbrini_12410,67.95622517357923
1066,LAbrini_13365,67.81503325454133
1452,LAbrini_03625,67.54495378637893
1752,LAbrini_15145,67.45093041524805
1027,LAbrini_06105,67.38129605630131
908,LAbrini_20150,67.34448788602913
810,LAbrini_17175,67.30280435623871
1892,LAbrini_00120,67.16658918811159
3488,LAbrini_07115,67.07371960191325
1175,LAbrini_20020,66.99621077554451
3412,LAbrini_15595,66.89910765935872
3483,LAbrini_15675,66.89884253484313
1031,LAbrini_17095,66.8174264848323
3661,ERCC-00116,66.79405473329774
480,LAbrini_07550,66.62383985627754
2746,LAbrini_15510,66.57369249328602
1506,LAbrini_10140,66.55201258724443
3045,LAbrini_16625,66.48099604324099
1649,LAbrini_02785,66.44964301957603
3087,LAbrini_09345,66.44963112965347
3286,LAbrini_14965,66.44891548613067
2856,LAbrini_01770,66.42792794459506
874,LAbrini_10285,66.31087282013674
1605,LAbrini_11775,66.3006522490151
1036,LAbrini_12420,66.2128024563631
3584,LAbrini_12610,65.87970153309439
270,LAbrini_18195,65.71903616170742
433,LAbrini_15785,65.637013819885
697,LAbrini_03060,65.5481169530606
3770,LAbrini_12865,65.45182723697663
3160,LAbrini_06470,65.3371519323819
2826,LAbrini_11140,65.31170246204587
3415,LAbrini_17520,65.20538731259771
3747,LAbrini_01745,65.1483700819946
417,LAbrini_12170,65.08177712817707
3252,ERCC-00131,64.99994820482522
1853,LAbrini_03570,64.98800565412672
1052,LAbrini_06395,64.96072053422841
1247,LAbrini_03325,64.87430100590852
1104,LAbrini_18090,64.77381587250055
2391,LAbrini_01135,64.75237148705763
2022,LAbrini_11965,64.69825777648893
1434,LAbrini_18640,64.61549101305611
721,LAbrini_01065,64.58636375121941
1713,LAbrini_19655,64.54892688848781
47,LAbrini_15205,64.39016817640136
3521,LAbrini_05650,64.38455271766482
1323,LAbrini_00385,64.34563780703942
362,LAbrini_19550,64.32643051910739
2841,LAbrini_10410,64.26698146161546
1214,LAbrini_17425,64.02195192224539
919,LAbrini_07865,64.00562337187219
3499,LAbrini_10980,63.99455670723368
3786,LAbrini_15190,63.911735630820075
1948,LAbrini_05785,63.81587206190544
2722,LAbrini_05930,63.77951930941397
821,LAbrini_17790,63.64769400452694
2579,LAbrini_15095,63.582364929801
